Очередь;Метка по КС;Идентификатор канала;Тип канала;Субъект Федерации;Район;Населенный пункт;PTP IP Prefix;AS Мегафон;Сети для для ССК    Z1.0/24;net Z1;Сеть LAN;граничный сегмент;Мнемокод X;номер Y;Полосность;Контроллер ССК;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Камера обзорная;Контроллер Ураган;Контроллер Ураган;Контроллер SICK;Контроллер SICK;iNode;ИБП;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK;Laser SICK
II;50;КС 50;Основной;Татарстан;Пестреченский р-н;Богородское;10.0.53.0/30;65501;10.53.30.0/24;10.53.30.;Z1.64/26;Z1.0/27;KAZ;10;4 с широкой обочиной;10.53.30.66;10.53.30.67;10.53.30.68;10.53.30.69;10.53.30.70;;;10.53.30.73;;10.53.30.75;;10.53.30.77;10.53.30.78;10.53.30.79;10.53.30.80;10.53.30.81;10.53.30.82;10.53.30.83;10.53.30.84;10.53.30.85;10.53.30.86;;;;
II;50;КС 50 Р;Резервный;Татарстан;Пестреченский р-н;Богородское;10.0.53.4/30; 31133;10.53.30.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;359;КС 359;Основной;Нижегородская обл.;Дальнеконстантиновский р-н;Богоявление;10.0.52.0/30;65094;10.52.30.0/24;10.52.30.;Z1.64/26;Z1.0/27;NNO;10;2;10.52.30.66;10.52.30.67;10.52.30.68;;;;;10.52.30.73;;10.52.30.75;;10.52.30.77;10.52.30.78;10.52.30.79;10.52.30.80;10.52.30.81;10.52.30.82;;;;;;;;
II;290;КС 290;Основной;Смоленская обл.;Рославльский р-н;Бодровка;10.0.75.0/30;31213;10.75.30.0/24;10.75.30.;Z1.64/26;Z1.0/27;SMN;10;2;10.75.30.66;10.75.30.67;10.75.30.68;;;;;10.75.30.73;;10.75.30.75;;10.75.30.77;10.75.30.78;10.75.30.79;10.75.30.80;10.75.30.81;10.75.30.82;;;;;;;;
II;290;КС 290 Р;Резервный;Смоленская обл.;Рославльский р-н;Бодровка;10.0.75.4/30;31213;10.75.30.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;337;КС 337;Основной;Калининградская обл.;Славский р-н;Большаково;10.0.86.4/30;31213;10.86.31.0/24;10.86.31.;Z1.64/26;Z1.0/27;KLN;11;2;10.86.31.66;10.86.31.67;10.86.31.68;;;;;10.86.31.73;;10.86.31.75;;10.86.31.77;10.86.31.78;10.86.31.79;10.86.31.80;10.86.31.81;10.86.31.82;;;;;;;;
I;337;КС 337 Р;Резервный;Калининградская обл.;Славский р-н;Большаково;10.0.86.8/30;31213;10.86.31.0/24;;;;KLN;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;397;КС 397;Основной;Татарстан;Казань;Большие Кабаны;10.0.53.8/30;65501;10.53.31.0/24;10.53.31.;Z1.64/26;Z1.0/27;KAZ;11;2;10.53.31.66;10.53.31.67;10.53.31.68;;;;;10.53.31.73;;10.53.31.75;;10.53.31.77;10.53.31.78;10.53.31.79;10.53.31.80;10.53.31.81;10.53.31.82;;;;;;;;
I;12;КС 12;Основной;Курская обл.;Фатежский р-н;Большое Жирово;10.0.71.0/30;65094;10.71.30.0/24;10.71.30.;Z1.64/26;Z1.0/27;KUO;10;2;10.71.30.66;10.71.30.67;10.71.30.68;;;;;10.71.30.73;;10.71.30.75;;10.71.30.77;10.71.30.78;10.71.30.79;10.71.30.80;10.71.30.81;10.71.30.82;;;;;;;;
I;12;КС 12 Р;Резервный;Курская обл.;Фатежский р-н;Большое Жирово;10.0.71.4/30;65094;10.71.30.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;32;КС 32;Основной;Воронежская обл.;Борисоглебск г.о.;Борисоглебск;10.0.68.0/30;31163;10.68.30.0/24;10.68.30.;Z1.64/26;Z1.0/27;VRO;10;2;10.68.30.66;10.68.30.67;10.68.30.68;;;;;10.68.30.73;;10.68.30.75;;10.68.30.77;10.68.30.78;10.68.30.79;10.68.30.80;10.68.30.81;10.68.30.82;;;;;;;;
II;196;КС 196;Основной;Брянская обл.;Выгоничский р-н;Бородино;10.0.65.8/30;65094;10.65.31.0/24;10.65.31.;Z1.64/26;Z1.0/27;BRO;10;2;10.65.31.66;10.65.31.67;10.65.31.68;;;;;10.65.31.73;;10.65.31.75;;10.65.31.77;10.65.31.78;10.65.31.79;10.65.31.80;10.65.31.81;10.65.31.82;;;;;;;;
I;292;КС 292;Основной;Брянская обл.;Брянский р-н;Брянск (юго-восток);10.0.65.16/30;65094;10.65.30.0/24;10.65.30.;Z1.64/26;Z1.0/27;BRO;11;2;10.65.30.66;10.65.30.67;10.65.30.68;;;;;10.65.30.73;;10.65.30.75;;10.65.30.77;10.65.30.78;10.65.30.79;10.65.30.80;10.65.30.81;10.65.30.82;;;;;;;;
I;272;КС 272;Основной;Смоленская обл.;Рославльский р-н;Бывальское;10.0.75.8/30;31213;10.75.31.0/24;10.75.31.;Z1.64/26;Z1.0/27;SMN;11;2;10.75.31.66;10.75.31.67;10.75.31.68;;;;;10.75.31.73;;10.75.31.75;;10.75.31.77;10.75.31.78;10.75.31.79;10.75.31.80;10.75.31.81;10.75.31.82;;;;;;;;
II;255;КС 255;Основной;Краснодарский край;Новороссийск;Верхнебаканский;10.0.19.12/30;31163;10.19.32.0/24;10.19.32.;Z1.64/26;Z1.0/27;KRN;12;3;10.19.32.66;10.19.32.67;10.19.32.68;10.19.32.69;;;;10.19.32.73;;10.19.32.75;;10.19.32.77;10.19.32.78;10.19.32.79;10.19.32.80;10.19.32.81;10.19.32.82;10.19.32.83;10.19.32.84;;;;;;
II;255;КС 255 Р;Резервный;Краснодарский край;Новороссийск;Верхнебаканский;10.0.19.16/30;31163;10.19.32.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;60;КС 60;Основной;Владимирская обл.;Александровский р-н;Верхние Дворики;10.0.66.16/30;65094;10.66.33.0/24;10.66.33.;Z1.64/26;Z1.0/27;VLA;10;4;10.66.33.66;10.66.33.67;10.66.33.68;10.66.33.69;10.66.33.70;;;10.66.33.73;;10.66.33.75;;10.66.33.77;10.66.33.78;10.66.33.79;10.66.33.80;10.66.33.81;10.66.33.82;10.66.33.83;10.66.33.84;10.66.33.85;10.66.33.86;;;;
II;306;КС 306;Основной;Воронежская обл.;Верхний Карачан;Верхний Карачан;10.0.68.4/30;31163;10.68.31.0/24;10.68.31.;Z1.64/26;Z1.0/27;VRO;11;3;10.68.31.66;10.68.31.67;10.68.31.68;10.68.31.69;;;;10.68.31.73;;10.68.31.75;;10.68.31.77;10.68.31.78;10.68.31.79;10.68.31.80;10.68.31.81;10.68.31.82;10.68.31.83;10.68.31.84;;;;;;
II;98;КС 98;Основной;Кировская обл.;Юрьянский р-н;Верхняя Горца;10.0.57.4/30;29648;10.57.31.0/24;10.57.31.;Z1.64/26;Z1.0/27;KIR;10;2;10.57.31.66;10.57.31.67;10.57.31.68;;;;;10.57.31.73;;10.57.31.75;;10.57.31.77;10.57.31.78;10.57.31.79;10.57.31.80;10.57.31.81;10.57.31.82;;;;;;;;
II;63;КС 63;Основной;Вологодская обл.;Верховажский р-н;Верховажье;10.0.85.4/30;31213;10.85.31.0/24;10.85.31.;Z1.64/26;Z1.0/27;VLG;11;2;10.85.31.66;10.85.31.67;10.85.31.68;;;;;10.85.31.73;;10.85.31.75;;10.85.31.77;10.85.31.78;10.85.31.79;10.85.31.80;10.85.31.81;10.85.31.82;;;;;;;;
II;100;КС 100;Основной;Коми;Сыктывдинский р-н;Вильгорт, ~ Сыктывкар;10.0.82.0/30;29648;10.82.30.0/24;10.82.30.;Z1.64/26;Z1.0/27;SKT;10;2;10.82.30.66;10.82.30.67;10.82.30.68;;;;;10.82.30.73;;10.82.30.75;;10.82.30.77;10.82.30.78;10.82.30.79;10.82.30.80;10.82.30.81;10.82.30.82;;;;;;;;
I;351;КС 351;Основной;Орловская обл.;Свердловский р-н;Гагаринка ? Разбегаевка;10.0.73.0/30;65094;10.73.30.0/24;10.73.30.;Z1.64/26;Z1.0/27;ORL;10;2;10.73.30.66;10.73.30.67;10.73.30.68;;;;;10.73.30.73;;10.73.30.75;;10.73.30.77;10.73.30.78;10.73.30.79;10.73.30.80;10.73.30.81;10.73.30.82;;;;;;;;
II;291;КС 291;Основной;Брянская обл.;Брянский р-н;Глинищево;10.0.65.12/30;65094;10.65.32.0/24;10.65.32.;Z1.64/26;Z1.0/27;BRO;12;2;10.65.32.66;10.65.32.67;10.65.32.68;;;;;10.65.32.73;;10.65.32.75;;10.65.32.77;10.65.32.78;10.65.32.79;10.65.32.80;10.65.32.81;10.65.32.82;;;;;;;;
II;99;КС 99;Основной;Кировская обл.;Слободской р-н;Гнусино;10.0.57.8/30;29648;10.57.32.0/24;10.57.32.;Z1.64/26;Z1.0/27;KIR;11;2;10.57.32.66;10.57.32.67;10.57.32.68;;;;;10.57.32.73;;10.57.32.75;;10.57.32.77;10.57.32.78;10.57.32.79;10.57.32.80;10.57.32.81;10.57.32.82;;;;;;;;
I;265;КС 265;Основной;Орловская обл.;Мценский р-н;Головлево;10.0.73.4/30;65094;10.73.31.0/24;10.73.31.;Z1.64/26;Z1.0/27;ORL;11;2;10.73.31.66;10.73.31.67;10.73.31.68;;;;;10.73.31.73;;10.73.31.75;;10.73.31.77;10.73.31.78;10.73.31.79;10.73.31.80;10.73.31.81;10.73.31.82;;;;;;;;
II;478;КС 478;Основной;Ярославская обл.;Даниловский р-н;Данилов;10.0.79.0/30;31213;10.79.30.0/24;10.79.30.;Z1.64/26;Z1.0/27;YAR;10;2;10.79.30.66;10.79.30.67;10.79.30.68;;;;;10.79.30.73;;10.79.30.75;;10.79.30.77;10.79.30.78;10.79.30.79;10.79.30.80;10.79.30.81;10.79.30.82;;;;;;;;
II;254;КС 254;Основной;Краснодарский край;Анапа;Джигинка;10.0.19.20/30;31163;10.19.33.0/24;10.19.33.;Z1.64/26;Z1.0/27;PSK;13;2;10.19.33.66;10.19.33.67;10.19.33.68;;;;;10.19.33.73;;10.19.33.75;;10.19.33.77;10.19.33.78;10.19.33.79;10.19.33.80;10.19.33.81;10.19.33.82;;;;;;;;
I;281;КС 281;Основной;Псковская обл.;Псковский р-н;Дигонец;10.0.90.8/30;31213;10.90.32.0/24;10.90.32.;Z1.64/26;Z1.0/27;;12;2;10.90.32.66;10.90.32.67;10.90.32.68;;;;;10.90.32.73;;10.90.32.75;;10.90.32.77;10.90.32.78;10.90.32.79;10.90.32.80;10.90.32.81;10.90.32.82;;;;;;;;
II;173;КС 173;Основной;Тверская обл.;Ржевский р-н;Домашино;10.0.4.0/30;31213;10.4.30.0/24;10.4.30.;Z1.64/26;Z1.0/27;TVR;10;2;10.4.30.66;10.4.30.67;10.4.30.68;;;;;10.4.30.73;;10.4.30.75;;10.4.30.77;10.4.30.78;10.4.30.79;10.4.30.80;10.4.30.81;10.4.30.82;;;;;;;;
II;173;КС 173 Р;Резервный;Тверская обл.;Ржевский р-н;Домашино;10.0.4.4/30;31213;10.4.30.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II;249;КС 249;Основной;Ростовская обл.;Каменский р-н;Донецк;10.0.22.4/30;31163;10.22.31.0/24;10.22.31.;Z1.64/26;Z1.0/27;RND;11;2;10.22.31.66;10.22.31.67;10.22.31.68;;;;;10.22.31.73;;10.22.31.75;;10.22.31.77;10.22.31.78;10.22.31.79;10.22.31.80;10.22.31.81;10.22.31.82;;;;;;;;
II;249;КС 249 Р;Резервный;Ростовская обл.;Каменский р-н;Донецк;10.0.22.8/30;31163;10.22.31.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;186;КС 186;Основной;Московская обл.;Ступинский р-н;Дубнево;10.0.50.176/30;25159;10.77.52.0/24;10.77.52.;Z1.64/26;Z1.0/27;MSO;27;2;10.77.52.66;10.77.52.67;10.77.52.68;;;;;10.77.52.73;;10.77.52.75;;10.77.52.77;10.77.52.78;10.77.52.79;10.77.52.80;10.77.52.81;10.77.52.82;;;;;;;;
I;80;КС 80;Основной;Псковская обл.;Себежский р-н;Дубровка;10.0.90.12/30;31213;10.90.33.0/24;10.90.33.;Z1.64/26;Z1.0/27;PSK;13;2;10.90.33.66;10.90.33.67;10.90.33.68;;;;;10.90.33.73;;10.90.33.75;;10.90.33.77;10.90.33.78;10.90.33.79;10.90.33.80;10.90.33.81;10.90.33.82;;;;;;;;
II;377;КС 377;Основной;Татарстан;Зеленодольский р-н;Дубровка;10.0.53.12/30;65501;10.53.32.0/24;10.53.32.;Z1.64/26;Z1.0/27;KAZ;12;4 с широкой обочиной;10.53.32.66;10.53.32.67;10.53.32.68;10.53.32.69;10.53.32.70;;;10.53.32.73;10.53.32.74;10.53.32.75;;10.53.32.77;10.53.32.78;10.53.32.79;10.53.32.80;10.53.32.81;10.53.32.82;10.53.32.83;10.53.32.84;10.53.32.85;10.53.32.86;;;;
II;377;КС 377 Р;Резервный;Татарстан;Зеленодольский р-н;Дубровка;10.0.53.16/30; 31133;10.53.32.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;120;КС 120;Основной;Ленинградская обл.;Лужский р-н;Жельцы;10.0.91.12/30;20632;10.91.33.0/24;10.91.33.;Z1.64/26;Z1.0/27;SPB;13;4;10.91.33.66;10.91.33.67;10.91.33.68;10.91.33.69;10.91.33.70;;;10.91.33.73;;10.91.33.75;;10.91.33.77;10.91.33.78;10.91.33.79;10.91.33.80;10.91.33.81;10.91.33.82;10.91.33.83;10.91.33.84;10.91.33.85;10.91.33.86;;;;
II;65;КС 65;Основной;Вологодская обл.;Грязовецкий р-н;Заемье;10.0.85.8/30;20632;10.85.32.0/24;10.85.32.;Z1.64/26;Z1.0/27;VLG;12;2;10.85.32.66;10.85.32.67;10.85.32.68;;;;;10.85.32.73;;10.85.32.75;;10.85.32.77;10.85.32.78;10.85.32.79;10.85.32.80;10.85.32.81;10.85.32.82;;;;;;;;
I;119;КС 119;Основной;Ленинградская обл.;Гатчинский р-н;Зайцево;10.0.91.16/30;20632;10.91.34.0/24;10.91.34.;Z1.64/26;Z1.0/27;SPB;14;2;10.91.34.66;10.91.34.67;10.91.34.68;;;;;10.91.34.73;;10.91.34.75;;10.91.34.77;10.91.34.78;10.91.34.79;10.91.34.80;10.91.34.81;10.91.34.82;;;;;;;;
I;194;КС 194;Основной;Брянская обл.;Злынковский р-н;Злынка;10.0.65.0/30;65094;10.65.33.0/24;10.65.33.;Z1.64/26;Z1.0/27;BRO;13;2;10.65.33.66;10.65.33.67;10.65.33.68;;;;;10.65.33.73;;10.65.33.75;;10.65.33.77;10.65.33.78;10.65.33.79;10.65.33.80;10.65.33.81;10.65.33.82;;;;;;;;
I;194;КС 194 Р;Резервный;Брянская обл.;Злынковский р-н;Злынка;10.0.65.4/30;65094;10.65.33.0/24;10.65.33.;Z1.64/26;Z1.0/27;BRO;13;2;10.65.33.66;10.65.33.67;10.65.33.68;;;;;10.65.33.73;;10.65.33.75;;10.65.33.77;10.65.33.78;10.65.33.79;10.65.33.80;10.65.33.81;10.65.33.82;;;;;;;;
I;11;КС 11;Основной;Орловская обл.;Орловский р-н;Знаменка (Орёл);10.0.73.8/30;65094;10.73.32.0/24;10.73.32.;Z1.64/26;Z1.0/27;ORL;12;3;10.73.32.66;10.73.32.67;10.73.32.68;10.73.32.69;;;;10.73.32.73;;10.73.32.75;;10.73.32.77;10.73.32.78;10.73.32.79;10.73.32.80;10.73.32.81;10.73.32.82;10.73.32.83;10.73.32.84;;;;;;
I;11;КС 11 Р;Резервный;Орловская обл.;Орловский р-н;Знаменка (Орёл);10.0.73.12/30;65094;10.73.32.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;81;КС 81;Основной;Псковская обл.;Себежский р-н;Идрица;10.0.90.16/30;31213;10.90.34.0/24;10.90.34.;Z1.64/26;Z1.0/27;PSK;14;2;10.90.34.66;10.90.34.67;10.90.34.68;;;;;10.90.34.73;;10.90.34.75;;10.90.34.77;10.90.34.78;10.90.34.79;10.90.34.80;10.90.34.81;10.90.34.82;;;;;;;;
I;334;КС 334;Основной;Псковская обл.;Печорский р-н;Изборск;10.0.90.20/30;31213;10.90.35.0/24;10.90.35.;Z1.64/26;Z1.0/27;PSK;15;2;10.90.35.66;10.90.35.67;10.90.35.68;;;;;10.90.35.73;;10.90.35.75;;10.90.35.77;10.90.35.78;10.90.35.79;10.90.35.80;10.90.35.81;10.90.35.82;;;;;;;;
